Version,File_Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Bugginess
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,58,90,2,0,2,79,68,39.50,68,68,34.00,234,125,117.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,132,176,3,0,2,165,153,55.00,154,153,51.33,305,126,101.67,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,62,74,2,0,2,73,72,36.50,72,72,36.00,238,127,119.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,335,415,6,0,3,400,364,66.67,385,364,64.17,365,128,60.83,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,67,80,2,0,2,78,76,39.00,76,76,38.00,242,129,121.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,139,167,3,0,2,163,158,54.33,159,158,53.00,315,130,105.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,619,1035,3,0,2,886,736,295.33,737,736,245.67,318,131,106.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,64,78,2,0,2,76,74,38.00,74,74,37.00,248,132,124.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,78,100,3,0,2,97,93,32.33,94,93,31.33,323,133,107.67,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,21,22,1,0,1,22,22,22.00,22,22,22.00,134,134,134.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,357,451,3,0,2,439,426,146.33,427,426,142.33,327,135,109.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,49,62,1,0,1,62,62,62.00,62,62,62.00,136,136,136.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,50,60,2,0,2,59,58,29.50,58,58,29.00,256,137,128.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,82,101,2,0,2,96,91,48.00,91,91,45.50,258,138,129.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,26,29,2,0,2,28,27,14.00,27,27,13.50,260,139,130.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,67,81,2,0,2,79,77,39.50,77,77,38.50,262,140,131.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,583,780,3,0,2,742,703,247.33,704,703,234.67,339,141,113.00,35,Yes
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,55,71,2,0,2,67,63,33.50,63,63,31.50,266,142,133.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,32,37,1,0,1,37,37,37.00,37,37,37.00,143,143,143.00,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,56,66,2,0,2,65,64,32.50,64,64,32.00,269,144,134.50,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,98,130,2,0,2,127,124,63.50,124,124,62.00,271,145,135.50,35,No
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,137,174,4,0,2,167,159,41.75,160,159,40.00,368,146,92.00,35,Yes
