Version,File_Name,LOC,LOC_touched,NR,NFix,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Age,Bugginess
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/SumFloat.java,57,74,3,0,1,70,66,23.33,66,66,22.00,478,389,159.33,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/SumInt.java,58,76,3,0,1,72,68,24.00,68,68,22.67,481,390,160.33,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/SumLong.java,58,76,3,0,1,72,68,24.00,68,68,22.67,484,391,161.33,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/builtin/Today.java,32,43,2,0,1,40,38,20.00,37,38,18.50,430,392,215.00,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/BTrim.java,56,63,1,0,1,63,63,63.00,63,63,63.00,2,2,2.00,6,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/CharLength.java,43,48,1,0,1,48,48,48.00,48,48,48.00,1,1,1.00,4,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/LTrim.java,57,64,1,0,1,64,64,64.00,64,64,64.00,3,3,3.00,6,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/Lower.java,43,48,1,0,1,48,48,48.00,48,48,48.00,1,1,1.00,6,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/RTrim.java,56,63,1,0,1,63,63,63.00,63,63,63.00,4,4,4.00,6,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/RegexpReplace.java,91,104,1,0,1,104,104,104.00,104,104,104.00,39,39,39.00,7,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/SplitPart.java,52,67,3,0,2,62,55,20.67,57,55,19.00,44,40,14.67,8,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/function/string/Upper.java,43,48,1,0,1,48,48,48.00,48,48,48.00,2,2,2.00,6,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/json/CoreGsonHelper.java,79,106,3,0,1,98,94,32.67,90,94,30.00,150,77,50.00,14,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/json/EvalNodeAdapter.java,45,99,3,0,1,75,55,25.00,51,55,17.00,505,393,168.33,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/json/LogicalNodeAdapter.java,44,104,3,0,1,77,58,25.67,50,58,16.67,514,397,171.33,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/parser/HiveConverter.java,1324,4518,8,0,3,3060,1587,382.50,1602,1587,200.25,63,16,7.88,10,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/parser/SQLAnalyzer.java,1030,1675,24,0,2,1451,900,60.46,1227,900,51.13,206,55,8.58,16,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/parser/SQLErrorListener.java,34,40,2,0,2,39,39,19.50,38,39,19.00,18,16,9.00,14,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/parser/SQLErrorStrategy.java,60,66,1,0,1,66,66,66.00,66,66,66.00,3,3,3.00,14,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/parser/SQLParseError.java,94,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/parser/SQLSyntaxError.java,43,0,0,0,0,0,0,0,0,0,0,0,0,0,2289,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/AlgebraVisitor.java,37,73,4,0,1,57,39,14.25,41,39,10.25,42,16,10.50,14,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/BaseAlgebraVisitor.java,212,313,6,0,1,276,207,46.00,239,207,39.83,66,17,11.00,14,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/BasicLogicalPlanVisitor.java,224,470,7,0,1,360,200,51.43,250,200,35.71,95,36,13.57,14,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/ExplainLogicalPlanVisitor.java,175,308,3,0,1,258,202,86.00,208,202,69.33,41,19,13.67,9,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/ExprsVerifier.java,138,164,1,0,1,164,164,164.00,164,164,164.00,8,8,8.00,4,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/GroupElement.java,56,65,1,0,1,65,65,65.00,65,65,65.00,60,60,60.00,16,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/InsertNode.java,172,207,5,0,1,202,183,40.40,197,183,39.40,42,20,8.40,10,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/LogicalOptimizer.java,189,2280,6,0,1,1253,742,208.83,226,742,37.67,486,411,81.00,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/LogicalPlan.java,681,1719,17,0,1,1275,564,75.00,831,564,48.88,290,63,17.06,16,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/LogicalPlanVerifier.java,187,225,1,0,1,225,225,225.00,225,225,225.00,9,9,9.00,4,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/LogicalPlanVisitor.java,54,118,6,0,1,88,50,14.67,58,50,9.67,78,22,13.00,14,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/LogicalPlanner.java,1012,3301,33,0,3,2249,909,68.15,1197,687,36.27,898,412,27.21,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/PhysicalPlanner.java,33,38,2,0,1,37,36,18.50,36,36,18.00,434,413,217.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/PhysicalPlannerImpl.java,695,1581,19,0,2,1194,321,62.84,807,321,42.47,680,414,35.79,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/PhysicalPlanningException.java,27,31,1,0,1,31,31,31.00,31,31,31.00,4,4,4.00,8,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/PlanString.java,81,99,1,0,1,99,99,99.00,99,99,99.00,25,25,25.00,9,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/PlannerUtil.java,561,1455,15,0,2,1052,616,70.13,649,616,43.27,746,415,49.73,20,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/PlanningException.java,26,29,1,0,1,29,29,29.00,29,29,29.00,1,1,1.00,15,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/Projector.java,97,121,3,0,1,116,114,38.67,111,114,37.00,515,418,171.67,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/RangePartitionAlgorithm.java,113,127,1,0,1,127,127,127.00,127,127,127.00,420,420,420.00,20,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/Target.java,95,155,7,0,1,135,115,19.29,115,115,16.43,311,84,44.43,16,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/TargetListManager.java,203,346,8,0,1,290,168,36.25,234,168,29.25,185,72,23.13,16,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/planner/UniformRangePartition.java,311,332,2,0,1,332,331,166.00,332,331,166.00,445,421,222.50,20,Yes
